log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb,note
BPI2013,gnn,,,ocel_load,28.0177,603.15,1611.92,1680.37,
BPI2013,gnn,,,feature_extraction,13.3135,1611.77,1693.06,1799.91,
BPI2013,gnn,NE-NPaA,,labeling,0.0531,1694.0,1705.8,1705.8,
BPI2013,gnn,NE-NPaA,0.0,fit,847.5776,1834.57,2426.65,2499.29,
BPI2013,gnn,NE-NPaA,0.0,predict,8.2939,2426.63,2672.6,2672.6,
BPI2013,gnn,NE-NPaA,1.0,fit,838.972,2406.38,2479.83,2483.81,
BPI2013,gnn,NE-NPaA,1.0,predict,7.2328,2479.81,2673.38,2673.38,
BPI2013,gnn,NE-NPaA,2.0,fit,833.1808,2425.97,2495.98,2501.13,
BPI2013,gnn,NE-NPaA,2.0,predict,8.3216,2495.96,2683.83,2683.83,
BPI2013,gnn,NE-NPaA,3.0,fit,841.4046,2443.64,2500.34,2504.59,
BPI2013,gnn,NE-NPaA,3.0,predict,8.3643,2500.32,2682.99,2682.99,
BPI2013,gnn,NE-NPaA,4.0,fit,841.0094,2434.02,2490.98,2496.18,
BPI2013,gnn,NE-NPaA,4.0,predict,8.1503,2490.96,2672.11,2672.11,
BPI2013,gnn,NE-NMPr,,labeling,0.0646,1694.9,1696.99,1696.99,
BPI2013,gnn,NE-NMPr,0.0,fit,248.2823,1830.42,2125.17,2126.66,
BPI2013,gnn,NE-NMPr,0.0,predict,2.3007,2125.17,2206.01,2206.01,
BPI2013,gnn,NE-NMPr,1.0,fit,248.196,2135.95,2144.27,2146.29,
BPI2013,gnn,NE-NMPr,1.0,predict,2.2826,2144.27,2204.42,2204.42,
BPI2013,gnn,NE-NMPr,2.0,fit,240.9792,2139.84,2076.6,2151.46,
BPI2013,gnn,NE-NMPr,2.0,predict,2.4795,2076.6,2139.84,2139.84,
BPI2013,gnn,NE-NMPr,3.0,fit,245.1915,2078.72,2080.59,2084.88,
BPI2013,gnn,NE-NMPr,3.0,predict,2.3327,2080.59,2127.66,2127.66,
BPI2013,gnn,NE-NMPr,4.0,fit,253.1199,2077.22,2083.26,2090.59,
BPI2013,gnn,NE-NMPr,4.0,predict,2.7202,2083.25,2120.5,2120.5,
BPI2013,gnn,NV-PrT,,labeling,0.0645,1695.79,1709.64,1709.64,
BPI2013,gnn,NV-PrT,0.0,fit,831.4495,1849.91,2439.03,2439.43,
BPI2013,gnn,NV-PrT,0.0,predict,8.3236,2439.03,2682.66,2682.66,
BPI2013,gnn,NV-PrT,1.0,fit,842.0482,2418.7,2488.34,2495.75,
